t,x,y,vd,xyd,nd,d,st
39,917.251,1128.71,0.162867,0.162867,6,6.19192,0
39,917.415,1128.71,0.164242,0.164242,6,6.19421,0
40,917.581,1128.71,0.165617,0.165617,6,6.19643,0
40,917.747,1128.71,0.166864,0.166864,6,6.1992,0
40,917.916,1128.71,0.168226,0.168226,6,6.2015,0
41,918.084,1128.71,0.169391,0.169391,6,6.20409,0
41,918.255,1128.7,0.170741,0.170741,6,6.2064,0
42,918.423,1128.7,0.171666,0.171666,6,6.20899,0
42,918.596,1128.7,0.172998,0.172998,6,6.21131,0
42,918.77,1128.7,0.17433,0.17433,6,6.21355,0
43,918.451,1128.7,0.162714,0.162713,6,6.20952,0
43,918.615,1128.7,0.164094,0.164092,6,6.2118,0
44,918.782,1128.7,0.166889,0.166889,6,6.21412,0
44,918.951,1128.7,0.168245,0.168245,6,6.21641,0
45,919.12,1128.7,0.1696,0.1696,6,6.21862,0
45,919.291,1128.7,0.170942,0.170942,6,6.22149,0
46,919.463,1128.7,0.172284,0.172284,6,6.22379,0
46,919.638,1128.7,0.174734,0.174734,6,6.22648,0
46,919.814,1128.7,0.17605,0.17605,6,6.22881,0
47,919.991,1128.69,0.177367,0.177367,6,6.23102,0
47,920.171,1128.7,0.179462,0.179462,6,6.2318,0
48,920.352,1128.7,0.180762,0.180762,6,6.23289,0
48,920.534,1128.7,0.182049,0.182049,6,6.23291,0
49,920.717,1128.7,0.183336,0.183336,6,6.23301,0
49,920.903,1128.7,0.185531,0.185531,6,6.23208,0
49,921.089,1128.7,0.186794,0.186794,6,6.2312,0
50,921.277,1128.71,0.188058,0.188058,6,6.23022,0
50,921.467,1128.71,0.189902,0.189902,6,6.22832,0
51,921.658,1128.71,0.19115,0.19115,6,6.22684,0
51,921.851,1128.72,0.192386,0.192386,6,6.22556,0
51,922.044,1128.72,0.193622,0.193622,6,6.22403,0
52,922.24,1128.72,0.195191,0.195191,6,6.2229,0
52,922.436,1128.73,0.196413,0.196413,6,6.22136,0
53,922.634,1128.73,0.198217,0.198217,6,6.22029,0
53,922.834,1128.73,0.199418,0.199417,6,6.21876,0
54,923.034,1128.73,0.200618,0.200618,6,6.2171,0
54,923.236,1128.74,0.202167,0.202167,6,6.21422,0
54,923.44,1128.74,0.203354,0.203354,6,6.21146,0
55,923.644,1128.75,0.20453,0.20453,6,6.20773,0
55,923.85,1128.75,0.205705,0.205705,6,6.20399,0
56,924.057,1128.76,0.207208,0.207208,6,6.19928,0
56,924.265,1128.77,0.208365,0.208365,6,6.19457,0
56,924.474,1128.77,0.209521,0.209521,6,6.18974,0
57,924.685,1128.78,0.210811,0.210811,6,6.18407,0
57,924.897,1128.79,0.211956,0.211956,6,6.17875,0
58,925.11,1128.8,0.213126,0.213125,6,6.17366,0
58,925.324,1128.8,0.214253,0.214253,6,6.16827,0
58,925.539,1128.81,0.215381,0.215381,6,6.16277,0
59,925.756,1128.82,0.21646,0.21646,6,6.15596,0
59,925.973,1128.83,0.217577,0.217577,6,6.14935,0
60,926.191,1128.84,0.218682,0.218682,6,6.14171,0
60,926.411,1128.85,0.219788,0.219788,6,6.1341,0
60,926.63,1128.86,0.220641,0.220641,6,6.12557,0
61,926.852,1128.87,0.221732,0.221732,6,6.11701,0
61,927.074,1128.88,0.222822,0.222822,6,6.10835,0
62,927.294,1128.89,0.22357,0.22357,6,6.101,0
62,927.519,1128.9,0.224652,0.224652,6,6.09307,0
63,927.356,1128.89,0.21525,0.21522,6,6.09857,0
63,927.572,1128.9,0.216337,0.216337,6,6.09192,0
63,927.789,1128.91,0.21745,0.217454,6,6.08526,0
64,928.009,1128.92,0.219711,0.219711,6,6.07715,0
64,928.229,1128.93,0.220811,0.220811,6,6.06931,0
65,928.451,1128.94,0.221901,0.221901,6,6.06275,0
65,928.674,1128.94,0.22299,0.22299,6,6.05569,0
66,928.897,1128.95,0.224069,0.224069,6,6.04832,0
66,929.122,1128.96,0.225148,0.225148,6,6.04098,0
66,929.349,1128.97,0.227118,0.227118,6,6.03414,0
67,929.577,1128.98,0.228176,0.228176,6,5.45078,0
67,929.806,1128.99,0.229235,0.229234,6,5.46622,0
68,930.037,1129,0.23092,0.23092,6,5.48261,0
68,930.269,1129.01,0.231964,0.231964,6,5.49884,0
68,930.502,1129.02,0.232999,0.232999,6,5.51499,0
69,930.735,1129.03,0.234034,0.234034,6,5.53115,0
69,930.971,1129.04,0.235799,0.235799,6,5.54812,0
70,931.208,1129.05,0.236815,0.236815,6,5.56451,0
70,931.445,1129.06,0.237831,0.237831,6,5.58078,0
70,931.685,1129.06,0.239313,0.239313,6,5.59825,0
71,931.925,1129.07,0.240317,0.240316,6,5.61531,0
71,932.166,1129.08,0.241591,0.241591,6,5.63245,0
72,932.409,1129.09,0.242578,0.242578,6,5.64943,0
72,932.652,1129.1,0.243566,0.243566,6,5.66626,0
72,932.897,1129.11,0.245023,0.245023,6,5.68442,0
73,933.143,1129.12,0.245998,0.245998,6,5.70204,0
73,933.389,1129.13,0.246964,0.246964,6,5.71983,0
73,933.637,1129.14,0.247929,0.247929,6,5.73734,0
74,933.886,1129.15,0.249174,0.249174,6,5.75371,0
74,934.136,1129.16,0.250124,0.250124,6,5.77017,0
75,934.387,1129.17,0.251074,0.251074,6,5.78646,0
75,934.639,1129.18,0.252288,0.252288,6,5.80274,0
76,934.892,1129.19,0.253227,0.253227,6,5.81846,0
76,935.146,1129.2,0.254275,0.254275,6,5.8357,0
76,935.401,1129.22,0.2552,0.2552,6,5.85226,0
77,935.657,1129.23,0.256124,0.256124,6,5.86861,0
77,935.913,1129.24,0.25707,0.25707,6,5.88387,0
78,936.171,1129.25,0.257985,0.257985,6,5.89917,0
78,936.43,1129.26,0.258862,0.258862,6,5.91576,0
78,936.689,1129.28,0.259764,0.259764,6,5.9318,0
79,936.95,1129.29,0.260666,0.260666,6,5.94759,0
79,937.211,1129.3,0.261559,0.261559,6,5.96241,0
80,937.473,1129.32,0.262453,0.262453,6,5.97717,0
80,937.734,1129.33,0.263142,0.263142,6,5.99163,0
80,937.998,1129.35,0.264023,0.264023,6,6.00557,0
81,938.263,1129.36,0.264904,0.264904,6,6.01929,0
81,938.525,1129.37,0.265509,0.265509,6,6.03338,0
82,938.791,1129.39,0.266383,0.266382,6,6.04693,0
82,938.743,1129.39,0.258781,0.258781,6,6.04412,0
83,939.002,1129.4,0.25969,0.25969,6,6.05645,0
83,939.263,1129.42,0.261501,0.261501,6,6.06843,0
83,939.525,1129.44,0.26239,0.26239,6,6.08016,0
84,939.788,1129.45,0.263279,0.263279,6,6.09169,0
84,940.051,1129.47,0.26416,0.26416,6,6.10125,0
85,940.316,1129.49,0.26504,0.26504,6,6.11104,0
85,940.581,1129.51,0.265912,0.265912,6,6.12074,0
86,940.847,1129.53,0.266784,0.266784,6,6.13036,0
86,941.114,1129.55,0.268375,0.268375,6,6.13873,0
86,941.383,1129.57,0.26923,0.26923,6,6.1473,0
87,941.652,1129.59,0.270086,0.270085,6,6.15571,0
87,941.923,1129.62,0.271447,0.271447,6,6.16443,0
88,942.194,1129.64,0.272291,0.272291,6,6.17267,0
88,942.466,1129.66,0.273131,0.273131,6,6.17956,0
88,942.739,1129.68,0.273963,0.273963,6,6.1867,0
89,943.013,1129.71,0.274795,0.274795,6,6.19369,0
89,943.289,1129.73,0.27621,0.27621,6,6.20071,0
90,943.565,1129.75,0.277031,0.277031,6,6.20747,0
90,943.842,1129.78,0.278233,0.278233,6,6.2129,0
91,944.12,1129.8,0.27904,0.27904,6,6.2186,0
91,944.398,1129.83,0.279847,0.279847,6,6.22414,0
91,944.678,1129.85,0.280867,0.280867,6,6.2297,0
92,944.959,1129.88,0.281665,0.281665,6,6.23501,0
92,945.24,1129.9,0.282847,0.282846,6,6.24109,0
93,945.523,1129.93,0.283631,0.283631,6,6.2465,0
93,945.806,1129.95,0.284415,0.284415,6,6.25173,0
94,946.09,1129.98,0.285425,0.285425,6,6.25615,0
94,946.375,1130.01,0.286197,0.286197,6,6.26093,0
94,946.661,1130.03,0.286968,0.286968,6,6.26553,0
95,946.948,1130.06,0.287732,0.287732,6,6.26959,0
95,947.235,1130.09,0.288495,0.288495,6,6.2733,0
96,947.523,1130.12,0.289472,0.289471,6,6.27649,0
96,947.812,1130.14,0.290227,0.290227,6,6.27938,0
96,948.101,1130.17,0.291069,0.291069,6,6.28179,0
97,948.391,1130.2,0.291813,0.291813,6,6.28387,0
97,948.682,1130.23,0.292556,0.292556,6,6.28579,0
98,948.974,1130.26,0.293316,0.293316,6,6.2877,0
98,949.267,1130.29,0.294052,0.294052,6,6.28937,0
98,949.56,1130.32,0.294757,0.294756,6,6.29172,0
99,949.854,1130.35,0.295482,0.295482,6,6.29345,0
99,950.148,1130.38,0.296208,0.296208,6,6.29501,0
99,950.444,1130.41,0.296926,0.296925,6,6.29774,0
100,950.74,1130.44,0.297644,0.297644,6,6.29996,0
100,951.036,1130.47,0.298198,0.298198,6,6.3023,0
101,951.333,1130.5,0.298907,0.298907,6,6.30435,0
101,951.631,1130.54,0.299615,0.299615,6,6.30617,0
102,951.928,1130.56,0.300101,0.300101,6,6.30932,0
102,952.227,1130.59,0.300804,0.300804,6,6.31181,0
102,952.27,1130.6,0.29469,0.294694,6,6.31214,0
103,952.564,1130.63,0.295418,0.295423,6,6.31461,0
103,952.859,1130.66,0.296879,0.296879,6,6.3164,0
104,953.155,1130.69,0.297594,0.297594,6,6.31788,0
104,953.452,1130.72,0.298309,0.298308,6,6.31911,0
104,953.749,1130.75,0.299016,0.299016,6,6.32009,0
105,954.048,1130.78,0.299724,0.299724,6,6.32107,0
105,954.346,1130.82,0.300425,0.300425,6,6.32117,0
106,954.645,1130.85,0.301126,0.301126,6,6.32107,0
106,954.946,1130.88,0.302406,0.302406,6,6.32235,0
107,955.248,1130.91,0.303093,0.303093,6,6.32293,0
